ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000400014FCB	Dialogue Text	PIER ORB / bustedupwalkwaythought	You	"But lieutenant, think about the splinters!"	“但是警督先生，想想那些碎片！”
0x0100008F000012DB	Dialogue Text	PIER ORB / bustedupwalkwaythought	Visual Calculus	Woah! What have we here?	哇啊！看看这是什么？
0x0100008F000012E1	Dialogue Text	PIER ORB / bustedupwalkwaythought	You	A bridge?	一座桥？
0x0100008F000012E9	Dialogue Text	PIER ORB / bustedupwalkwaythought	Visual Calculus	A bridge with loose nails and rot-infested wood that creaks in the wind. A construction code violation if there ever was one!	一座钉子已经松松垮垮、木板腐烂到在风中嘎吱作响的破桥。如果说曾经有过施工规范的话，这就是违规的范例！
0x0100008F000012F7	Dialogue Text	PIER ORB / bustedupwalkwaythought	You	Guess I'll have to take my chances.	看来我只能碰碰运气了。
0x0100008F00002338	Dialogue Text	PIER ORB / bustedupwalkwaythought	You	"Kim, it looks like we've got a construction code violation."	“金，看来这里有起违反施工规范的案件。”
0x0100008F0000233F	Dialogue Text	PIER ORB / bustedupwalkwaythought	You	Whatever. Let death come. I'm a Revacholian badass.	无所谓了。死神要来就来吧。我可是瑞瓦肖土生土长的混蛋。
0x0100008F0000234C	Dialogue Text	PIER ORB / bustedupwalkwaythought	Visual Calculus	Oh, pardon me then. I forgot just how *cool* you were.	哎呀，那真是不好意思了。我都忘记你有多*狂拽酷炫*了呢。
0x0100008F00002353	Dialogue Text	PIER ORB / bustedupwalkwaythought	Endurance	You can take those sharp rocks!	你可以走那些尖锐的岩石！
0x0100008F0000235B	Dialogue Text	PIER ORB / bustedupwalkwaythought	Visual Calculus	Guess so. Just be careful out there! One false step could cost you dearly!	我想也是。不过要小心点！只要迈错一步，就会让你损失惨重！
0x0100008F00002362	Dialogue Text	PIER ORB / bustedupwalkwaythought	Kim Kitsuragi	The lieutenant looks around. "True, they never cleaned up the war damage... The rest of Revachol looks better, though."	警督四下看了看。“是啊，他们从来都不会清理战争留下的伤害……不过瑞瓦肖其它地方要好很多。”
0x0100008F00002369	Dialogue Text	PIER ORB / bustedupwalkwaythought	Kim Kitsuragi	"The bridge is fine enough. Locals use it all the time, after all. It's nothing to worry about." He adjusts his glasses. "Shall we?"	“这座桥已经不错了。毕竟本地人一直都用它。没什么好担心的。”他推了推鼻梁上的眼镜。“我们走吧？”
0x0100000F0000799A	Dialogue Text	PIER ORB / communistquest	Rhetoric	There it is again! There's a spectral scent haunting this pier, no doubt. And it smells like...	又是这种味道！这个工业港萦绕着一股诡异的气息。闻起来就像……
0x0100000F000079A1	Dialogue Text	PIER ORB / communistquest	Rhetoric	There! Do you smell that?	对！你闻到了吗？
0x0100000F000079A8	Dialogue Text	PIER ORB / communistquest	Perception (Smell)	Sea brine, mostly. Because it's a pier.	更多就是海水味儿吧。毕竟这是码头。
0x0100000F000079AF	Dialogue Text	PIER ORB / communistquest	Rhetoric	Years of turmoil, of hopes and dreams ground beneath the inexorable tides of capital.	那么多年的动乱、希望和梦想都被无情的资本浪潮所淹没。
0x0100000F000079B6	Dialogue Text	PIER ORB / communistquest	You	Smell what?	闻到什么？
0x0100000F000079BB	Dialogue Text	PIER ORB / communistquest	You	I don't smell anything.	我什么也没闻到。
0x0100000F000079C4	Dialogue Text	PIER ORB / communistquest	Rhetoric	Can you not detect that inimitable whiff of dissatisfaction and restlessness, that sense that the world is in need of dramatic, even violent re-ordering?	你难道感觉不出那种不满和不安的独特*气味*吗？感觉就像是这个世界需要强烈地，甚至是*暴力地*去重建秩序一般。
0x0100000F000079CC	Dialogue Text	PIER ORB / communistquest	You	(Close your eyes and take a deep breath.)	（闭上眼睛然后深呼吸。）
0x0100000F000079D2	Dialogue Text	PIER ORB / communistquest	You	Are you saying there's a communist nearby?	你是说这附近有康米主义者吗？
0x0100000F000079DE	Dialogue Text	PIER ORB / communistquest	Rhetoric	What do you smell?	你闻到什么了？
0x0100000F000079E5	Dialogue Text	PIER ORB / communistquest	Perception (Smell)	The first thing that strikes you is the overwhelming brine. You imagine yourself underwater, a hundred-legged arthropod scuttling along the murky silt at the bottom of the sea...	你首先闻到的是扑面而来的海水味。你幻想着自己身处水下，有只长着一百条腿的节肢动物在海底阴暗的淤泥中穿行……
0x0100000F000079F4	Dialogue Text	PIER ORB / communistquest	Perception (Smell)	But then the unmistakable reek of *seagull shit* hits you, buoyed along on the air currents, an acrid melody atop mouldering chords of wood rot and heavy fuel oil.	紧接着，一阵强烈的*海鸥屎*的臭味随风而来，与腐木和重燃油的气味交织成一段刺鼻的旋律。
0x0100000F000079FB	Dialogue Text	PIER ORB / communistquest	Perception (Smell)	Nothing. Or at least, nothing in particular. As far as you're concerned, your nose seems to be purely decorative.	什么也闻不到。至少没有什么特别的气味。对你而言，鼻子纯粹只是一种装饰。
0x0100000F00007A10	Dialogue Text	PIER ORB / communistquest	Kim Kitsuragi	"Still smelling for communists, detective?"	“还在闻康米主义者的气味吗，警探？”
0x0100000F00007A19	Dialogue Text	PIER ORB / communistquest	Kim Kitsuragi	"Everything in order, detective?" The lieutenant gives you a quizzical look.	“一切正常吗，警探？”警督疑惑地看着你。
0x0100000F00007A20	Dialogue Text	PIER ORB / communistquest	Perception (Smell)	It smells like a pier, in other words. A completely ordinary pier, that provokes no ideological associations whatsoever.	换句话说，闻到的就是码头应该有的味道。这只是一个很普通的码头，无法激发什么意识上的联想。
0x0100000F00007A27	Dialogue Text	PIER ORB / communistquest	Rhetoric	Absolute rubbish. Your politico-olfactory cortex doesn't deceive you. The smell is coming... from that balcony over there!	绝对是垃圾的味道。你的政治嗅觉皮层不会欺骗你。气味从阳台那边……飘过来了！
