ArticyId	TermType	ConvTitle	Actor	En	Zh
0x0100000200001189	Dialogue Text	WHIRLING / BATHROOM MIRROR	Interfacing	Your hands, however skilful, can't manage this task on their own. You should get your chaincutters out.	你的手，不管多么灵巧，也不能独自完成这个任务。你应该把切链钳拿出来。
0x0100000400000912	Dialogue Text	WHIRLING / BATHROOM MIRROR	Mirror	A mirror hangs above a bent and broken sink. In a fierce discharge of masculine energy someone has ripped half the faucet off.	一面镜子挂在一个扭曲破损的盥洗盆上。某人爆发男子气概的时候，把半边水龙头扯下来了。
0x010000040000092E	Alternate1	WHIRLING / BATHROOM MIRROR	Mirror	Hot water sprays from the faucet's base and steam covers the mirror. You cannot see yourself, just a vague impression of a man. 	热水从水龙头基座中喷涌而出，蒸汽糊住了整面镜子。你看不见自己，只有一个模糊的男性形象。
0x010000040000092E	Dialogue Text	WHIRLING / BATHROOM MIRROR	Mirror	Hot water sprays from the base and steam covers the mirror. You cannot see yourself, just the outline of a man.	热水从基座里喷涌而出，蒸汽糊住了整面镜子。你看不见自己，只能辨认出一个男性的轮廓。
0x0100000400000958	Dialogue Text	WHIRLING / BATHROOM MIRROR	You	Wipe the mirror.	擦拭镜子。
0x010000040000095E	Dialogue Text	WHIRLING / BATHROOM MIRROR	You	No way, I'm not doing this. [Back off.]	不可能，我不会这么做的。[后退。]
0x010000040000097C	Dialogue Text	WHIRLING / BATHROOM MIRROR	You	[Better not to know -- Leave.]	[现在最好还是不要了——离开。]
0x0100000400000984	Alternate1	WHIRLING / BATHROOM MIRROR	You	I don't care, I hurt myself, it's what I do. (Wipe the mirror.)	我不在乎，我就要伤害自己，我就这么做。（擦拭镜子。）
0x0100000400000984	Dialogue Text	WHIRLING / BATHROOM MIRROR	You	I don't care. (Still wipe the mirror.)	我不在乎。（继续擦拭镜子。）
0x010000040000099E	Dialogue Text	WHIRLING / BATHROOM MIRROR	Mirror	Yeah, there is definitely something wrong with it.	是啊，它肯定有问题。
0x01000004000009B3	Dialogue Text	WHIRLING / BATHROOM MIRROR	You	What? What's wrong?	什么？什么问题？
0x01000004000009BA	Dialogue Text	WHIRLING / BATHROOM MIRROR	Mirror	Where to even begin? There's the bloatedness, then the swollenness... It's like there's an upholstery of alcohol underneath your skin.	到底该从哪里开始呢？有些发胖，然后是浮肿……感觉就像你的皮肤下面垫衬着一层酒精。
0x01000004000009C7	Dialogue Text	WHIRLING / BATHROOM MIRROR	You	I'm scared. I want to stop doing this.	我害怕。我不想这么做了。
0x01000004000009CF	Dialogue Text	WHIRLING / BATHROOM MIRROR	You	At least my tongue is okay. (Touch your tongue.)	至少我的舌头还好。（摸摸你的舌头。）
